โครงสร้างและรูปแบบข้อมูล XML  ภงด 50,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Index,Dictionary Entry Name (DEN) ,,,,,,,,<XML Tag>,Description ,Type ,Max Len,Attribute ,,,Rule Guideline,,,
1.6.12.1.2.3,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.assets.NonCurrent.No3,,<rd:No3>,ทรัพย์สินอื่นซึ่งหักค่าสึกหรอและค่าเสื่อมราคาแล้ว,"Decimal (15, 2)",15,[0…1],,,PND50_R189,,,
1.6.12.1.2.4,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.assets.NonCurrent.No4,,<rd:No4>,สิทธิการเช่าและหรือสิทธิการใช้ทรัพย์สิน,"Decimal (15, 2)",15,[0…1],,,PND50_R189,,,
1.6.12.1.2.5,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.assets.NonCurrent.No5,,<rd:No5>,สินทรัพย์ไม่หมุนเวียนอื่น (นอกจากที่ระบุใน (1) ถึง (4)),"Decimal (15, 2)",15,[0…1],,,PND50_R189,,,
1.6.12.1.3,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.assets.totalAssets,,,<rd:TotalAssets>,รวมสินทรัพย์,"Decimal (15, 2)",15,[1…1],,,PND50_R190,,,
1.6.12.2,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity,,,,<rd:LiabilitesAndEquity>,หนี้สินและส่วนของผู้ถือหุ้น/ผู้เป็นหุ้นส่วน,Object,,[0…1],,,,,,
1.6.12.2.1,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities,,,<rd:Liabilities>,หนี้สิน,Object,,[0…1],,,,,,
1.6.12.2.1.1,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities.Current,,<rd:Current>,หนี้สินหมุนเวียน,Object,,[0…1],,,,,,
1.6.12.2.1.1.1,,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities.Current.No1,<rd:No1>,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,"Decimal (15, 2)",15,[0…1],,,PND50_R191,,,
1.6.12.2.1.1.2,,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities.Current.No2,<rd:No2>,เจ้าหนี้การค้า,"Decimal (15, 2)",15,[0…1],,,PND50_R191,,,
1.6.12.2.1.1.3,,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities.Current.No3,<rd:No3>,เงินกู้ยืม,"Decimal (15, 2)",15,[0…1],,,PND50_R191,,,
1.6.12.2.1.1.4,,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities.Current.No4,<rd:No4>,หนี้สินหมุนเวียนอื่น (นอกจาก (1) ถึง (3)),"Decimal (15, 2)",15,[0…1],,,PND50_R191,,,
1.6.12.2.1.2,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities.NonCurrent,,<rd:NonCurrent>,หนี้สินไม่หมุนเวียน,Object,,[0…1],,,,,,
1.6.12.2.1.2.1,,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities.NonCurrent.No1,<rd:No1>,เงินกู้ยืมระยะยาว,"Decimal (15, 2)",15,[0…1],,,PND50_R191,,,
1.6.12.2.1.2.2,,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.liabilities.NonCurrent.No2,<rd:No2>,หนี้สินไม่หมุนเวียนอื่น,"Decimal (15, 2)",15,[0…1],,,PND50_R191,,,
1.6.12.2.2,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.totalLiabilities,,,<rd:TotalLiabilities>,รวมหนี้สิน,"Decimal (15, 2)",15,[1…1],,,PND50_R192,,,
1.6.12.2.3,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.equity,,,<rd:Equity>,ส่วนของผู้ถือหุ้น /ผู้เป็นหุ้นส่วน,Object,,[1…1],,,,,,
1.6.12.2.3.1,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.equity.authorizeCapital,,<rd:AuthorizeCapital>,ทุนจดทะเบียน,"Decimal (15, 2)",15,[1…1],,,PND50_R193,,,
1.6.12.2.3.2,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.equity.No1,,<rd:No1>,ทุนที่ออกและชำระแล้ว,"Decimal (15, 2)",15,[1…1],,,PND50_R194,,,
1.6.12.2.3.3,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.equity.No2,,<rd:No2>,อื่น ๆ,"Decimal (15, 2)",15,[0…1],,,PND50_R194,,,
1.6.12.2.3.4,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.equity.No3_Indicator,,<rd:No3_Indicator>,"ดัชนีกำไร/ชาดทุนสะสม  0 = ไม่มีสถานะ, 1 = กำไรสะสม, 2 = ขาดทุนสะสม",Number,1,[1…1],,,PND50_R195,,,
1.6.12.2.3.5,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.equity.No3_Amount,,<rd:No3_Amount>,จำนวนกำไร/ชาดทุนสะสม,"Decimal (15, 2)",15,[1…1],,,PND50_R196,,,
1.6.12.2.3.6,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.equity.TotalEquityIndicator,,<rd:TotalEquityIndicator>,"ดัชนีรวมส่วนของผู้ถือหุ้น /ผู้เป็นหุ้นส่วน  0 = ไม่มีสถานะ, 1 = ค่าบวก, 2 = ค่าลบ",Number,1,[1…1],,,PND50_R302,,,
1.6.12.2.3.7,,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.equity.totalEquity,,<rd:TotalEquity>,รวมส่วนของผู้ถือหุ้น /ผู้เป็นหุ้นส่วน,"Decimal (15, 2)",15,[1…1],,,PND50_R197,,,
1.6.12.2.4,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.totalLiabilitiesAndEquityIndicator,,,<rd:TotalLiabilitiesAndEquityIndicator>,"ดัชนีรวมหนี้สินและส่วนของผู้ถือหุ้น/ผู้เป็นหุ้นส่วน  0 = ไม่มีสถานะ, 1 = ค่าบวก, 2 = ค่าลบ",Number,1,[1…1],,,PND50_R303,,,
1.6.12.2.5,,,,,,TaxFormDetail.assetsLiabilitiesAndEquity.liabilitesAndEquity.totalLiabilitiesAndEquity,,,<rd:TotalLiabilitiesAndEquity>,รวมหนี้สินและส่วนของผู้ถือหุ้น/ผู้เป็นหุ้นส่วน,"Decimal (15, 2)",15,[1…1],,,PND50_R198,,,
1.6.13,,,,TaxFormDetail.auditorReport,,,,,<rd:AuditorReport>,รายงานของผู้ตรวจสอบและรับรองบัญชี,Object,,[1…1],,,,,,
1.6.13.1,,,,,TaxFormDetail.auditorReport.id,,,,<rd:Id>,"ตัวเลือก 1 = ไม่มีเงื่อนไข, 2 = มีเงื่อนไข, 3 = ไม่แสดงความเห็น, 4 = ไม่ถูกต้อง, 5 = ไม่มีข้อยกเว้น, 6 = มีข้อยกเว้น",Number,1,[1…1],,,PND50_R199,,,
1.6.24,,,,TaxFormDetail.declarationUnderSection71Bis,,,,,<rd:DeclarationUnderSection71Bis>,บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่มีความสัมพันธ์กันตามมาตรา 71 ทวิ แห่งประมวลรัษฎากร,Object,,[1…1],,,,,,
1.6.24.1,,,,,TaxFormDetail.declarationUnderSection71Bis.id,,,,<rd:Id>,"ตัวเลือก 0 = ไม่มี, 1 = มี",Number,1,[1…1],,,PND50_R200,,,
1.6.14,,,,TaxFormDetail.auditorInfo,,,,,<rd:AuditorInfo>,รายละเอียดของผู้ตรวจสอบและรับรองบัญชี,Object,,[1…1],,,,,,
1.6.14.1,,,,,TaxFormDetail.auditorInfo.auditorId13,,,,<rd:AuditorId13>,เลขประจำตัวผู้เสียภาษีอากร,String,13,[1…1],,,PND50_R201,,,
1.6.14.2,,,,,TaxFormDetail.auditorInfo.titleCode,,,,<rd:TitleCode>,รหัสคำนำหน้า,String,8,[1…1],,,,,,
1.6.14.3,,,,,TaxFormDetail.auditorInfo.titleName,,,,<rd:TitleName>,คำนำหน้า,String,100,[1…1],,,PND50_R202,,,
1.6.14.4,,,,,TaxFormDetail.auditorInfo.firstName,,,,<rd:FirstName>,ชื่อ,String,300,[1…1],,,PND50_R203,,,
1.6.14.5,,,,,TaxFormDetail.auditorInfo.lastName,,,,<rd:LastName>,นามสกุล,String,150,[1…1],,,PND50_R204,,,
1.6.14.6,,,,,TaxFormDetail.auditorInfo.certificateNo,,,,<rd:CertificateNo>,ทะเบียนเลขที่,String,8,[1…1],,,PND50_R205,,,
1.6.14.7,,,,,TaxFormDetail.auditorInfo.reportDate,,,,<rd:ReportDate>,วันที่ในรายงานของผู้ตรวจสอบ และรับรองบัญชี,Date,,[1…1],,,PND50_R206,,,
1.6.14.8,,,,,TaxFormDetail.auditorInfo.accountingOfficeId,,,,<rd:AccountingOfficeId>,เลขประจำตัวผู้เสียภาษีอากร (ของสำนักงานสอบบัญชี),String,13,[1…1],,,PND50_R207,,,
1.6.15,,,,TaxFormDetail.accountantInfo,,,,,<rd:AccountantInfo>,ชื่อผู้ทำบัญชี,Object,,[1…1],,,,,,
1.6.15.1,,,,,TaxFormDetail.accountantInfo.accountantId,,,,<rd:AccountantId>,เลขประจำตัวผู้เสียภาษีอากร  (ของผู้ทำบัญชี),String,13,[1…1],,,PND50_R208,,,
1.6.15.2,,,,,TaxFormDetail.accountantInfo.titleCode,,,,<rd:TitleCode>,รหัสคำนำหน้า,String,8,[1…1],,,,,,
1.6.15.3,,,,,TaxFormDetail.accountantInfo.titleName,,,,<rd:TitleName>,คำนำหน้า,String,100,[1…1],,,PND50_R209,,,
1.6.15.4,,,,,TaxFormDetail.accountantInfo.firstName,,,,<rd:FirstName>,ชื่อ,String,300,[1…1],,,PND50_R210,,,
1.6.15.5,,,,,TaxFormDetail.accountantInfo.lastName,,,,<rd:LastName>,นามสกุล,String,150,[1…1],,,PND50_R211,,,
1.6.15.6,,,,,TaxFormDetail.accountantInfo.accountingOfficeId,,,,<rd:AccountingOfficeId>,เลขประจำตัวผู้เสียภาษีอากร (ของสำนักงานทำบัญชี),String,13,[1…1],,,PND50_R212,,,
1.6.15.7,,,,,TaxFormDetail.accountantInfo.email,,,,<rd:Email>,อีเมลของผู้ทำบัญชี,String,200,[0…1],,,PND50_R213,,,
1.6.16,,,,TaxFormDetail.declarationStatement,,,,,<rd:DeclarationStatement>,แบบแจ้งข้อความของกรรมการ หรือผู้เป็นหุ้นส่วน หรือผู้จัดการ,Object,,[1…1],,,,,,
1.6.16.1,,,,,TaxFormDetail.declarationStatement.no1,,,,<rd:No1>,ข้อ 1,Object,,[1…1],,,,,,
1.6.16.1.1,,,,,,TaxFormDetail.declarationStatement.answer,,,<rd:Answer>,"ตัวเลือกคำตอบ 0 = ไม่มี, 1 = มี",Number,1,[1…1],,,PND50_R214,,,
1.6.16.1.2,,,,,,TaxFormDetail.declarationStatement.reason,,,<rd:Reason>,เหตุผล ต้องมีค่ากรณีเลือก คำตอบว่า มี,String,200,[0…1],C,C,PND50_R215,,,
1.6.16.2,,,,,TaxFormDetail.declarationStatement.no2,,,,<rd:No2>,ข้อ 2,Object,,[1…1],,,,,,
1.6.16.2.1,,,,,,TaxFormDetail.declarationStatement.answer,,,<rd:Answer>,"ตัวเลือกคำตอบ 0 = ไม่มี, 1 = มี",Number,1,[1…1],,,PND50_R216,,,
1.6.16.2.2,,,,,,TaxFormDetail.declarationStatement.reason,,,<rd:Reason>,เหตุผล ต้องมีค่ากรณีเลือก คำตอบว่า มี,String,200,[0…1],C,C,PND50_R217,,,
1.6.16.3,,,,,TaxFormDetail.declarationStatement.no3,,,,<rd:No3>,ข้อ 3,String,,[1…1],,,,,,
1.6.16.3.1,,,,,,TaxFormDetail.declarationStatement.answer,,,<rd:Answer>,"ตัวเลือกคำตอบ 0 = ไม่มี, 1 = มี",Number,1,[1…1],,,PND50_R218,,,
1.6.16.3.2,,,,,,TaxFormDetail.declarationStatement.reason,,,<rd:Reason>,เหตุผล ต้องมีค่ากรณีเลือก คำตอบว่า มี,String,200,[0…1],C,C,PND50_R219,,,
1.6.16.4,,,,,TaxFormDetail.declarationStatement.no4,,,,<rd:No4>,ข้อ 4,Object,,[1…1],,,,,,
1.6.16.4.1,,,,,,TaxFormDetail.declarationStatement.answer,,,<rd:Answer>,"ตัวเลือกคำตอบ 0 = ไม่มี, 1 = มี",Number,1,[1…1],,,PND50_R220,,,
1.6.16.4.2,,,,,,TaxFormDetail.declarationStatement.reason,,,<rd:Reason>,เหตุผล ต้องมีค่ากรณีเลือก คำตอบว่า มี,String,200,[0…1],C,C,PND50_R221,,,
1.6.16.5,,,,,TaxFormDetail.declarationStatement.no5,,,,<rd:No5>,ข้อ 5,Object,,[1…1],,,,,,
1.6.16.5.1,,,,,,TaxFormDetail.declarationStatement.answer,,,<rd:Answer>,"ตัวเลือกคำตอบ 0 = ไม่ได้ดำเนินการ, 1 = ได้ดำเนินการครบถ้วนแล้ว",Number,1,[1…1],,,PND50_R222,,,
1.6.16.5.2,,,,,,TaxFormDetail.declarationStatement.reason,,,<rd:Reason>,เหตุผล ต้องมีค่ากรณีเลือก คำตอบว่า ไม่ได้ดำเนินการ,String,200,[0…1],C,C,PND50_R223,,,
1.6.17,,,,TaxFormDetail.auditorNote,,,,,<rd:AuditorNote>,ส่วนของผู้ตรวจสอบและรับรองบัญชี,Object,,[1…1],,,,,,
1.6.17.1,,,,,TaxFormDetail.auditorNote.additionalOpinion,,,,<rd:AdditionalOpinion>,ความเห็นเพิ่มเติม,String,300,[0…1],,,,,,
1.6.17.2,,,,,TaxFormDetail.auditorNote.otherOpinion,,,,<rd:OtherOpinion>,กรณีอื่น ๆ,String,300,[0…1],,,,,,
1.6.17.3,,,,,TaxFormDetail.auditorNote.date,,,,<rd:Date>,ลงวันที่,Date,,[1…1],,,PND50_R224,,,
1.6.18,,,,TaxFormDetail.IbcAttachment,,,,,<rd:IbcAttachment>,ใบแนบสำหรับกิจการศูนย์กลางธุรกิจระหว่างประเทศ (IBC) จะมีข้อมูลก็ต่อเมื่อสภาพบริษัทเป็น IBC,Object,,[0…1],C,C,,,,
1.6.18.1,,,,,TaxFormDetail.IbcAttachment.period,,,,<rd:Period>,ระยะเวลาที่ได้รับสิทธิ,Object,,[0…1],C,C,,,,
1.6.18.1.1,,,,,,TaxFormDetail.IbcAttachment.period.approvedDate,,,<rd:ApprovedDate>,วันที่ได้รับอนุมัติ,Date,,[0…1],C,C,PND50_R225,,,
1.6.18.1.2,,,,,,TaxFormDetail.IbcAttachment.period.fromDate,,,<rd:FromDate>,วันที่สิทธิเริ่มต้น,Date,,[0…1],C,C,PND50_R226,,,
1.6.18.1.3,,,,,,TaxFormDetail.IbcAttachment.period.toDate,,,<rd:ToDate>,วันที่สิทธิสิ้นสุด,Date,,[0…1],C,C,PND50_R227,,,
1.6.18.2,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue,,,,<rd:DirectOperatingReveue>,รายได้ตรงจากการประกอบกิจการ,Object,,[0…1],C,C,,,,
1.6.18.2.1,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No1,,,<rd:No1>,รายได้จากการให้บริการด้านบริหารหรือด้านเทคนิคการให้บริการสนับสนุน หรือการบริหารเงิน,Object,,[0…1],C,C,,,,
1.6.18.2.1.1,,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No1.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R228,,,
1.6.18.2.2,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No2,,,<rd:No2>,กำไรจากอัตราแลกเปลี่ยนเงินตรา,Object,,[0…1],C,C,,,,
1.6.18.2.2.1,,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No2.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R229,,,
1.6.18.2.3,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No3,,,<rd:No3>,ดอกเบี้ยรับ,Object,,[0…1],C,C,,,,
1.6.18.2.3.1,,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No3.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R230,,,
1.6.18.2.4,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No4,,,<rd:No4>,ค่าสิทธิ,Object,,[0…1],C,C,,,,
1.6.18.2.4.1,,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No4.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R231,,,
1.6.18.2.5,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No5,,,<rd:No5>,รายได้จากกิจการการค้าระหว่างประเทศ,Object,,[0…1],C,C,,,,
1.6.18.2.5.1,,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.No5.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R232,,,
1.6.18.2.6,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.TotalAmount,,,<rd:TotalAmount>,รวม 1. ถึง 5. จะมีค่าก็ต้องเมื่อข้อ 1 ถึง 5 ข้อใดข้อหนึ่งมีค่า,Object,,[0…1],C,C,,,,
1.6.18.2.6.1,,,,,,,TaxFormDetail.IbcAttachment.directOperatingRevenue.TotalAmount.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R233,,,
1.6.18.3,,,,,TaxFormDetail.IbcAttachment.IbcExpenseUnderRoyalDecree674,,,,<rd:IbcExpenseUnderRoyalDecree674>,รายจ่ายของกิจการศูนย์กลางธุรกิจระหว่างประเทศ (ตาม พ.ร.ฎ. ฉบับที่ 674),,,,,,PND50_R234,,,
1.6.18.4,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted,,,,<rd:netLossAdjusted>,ข้อมูลผลการทุนสุทธิ,Object,,[0…1],C,C,,,,
1.6.18.4.1,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.Amount,,,<rd:Amount>,จำนวนรายการผลการทุนสุทธิ จะต้องมีรายละเอียดข้อมูลผลขาดทุนสุทธิก่อนรอบระยะเวลาบัญชีปัจจุบัน,Number,,[0…1],C,C,PND50_R235,,,
1.6.18.4.2,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.netLossDetail,,,<rd:netLossDetail>,รายการผลการทุนสุทธิ จะต้องมีรายละเอียดข้อมูลผลขาดทุนสุทธิก่อนรอบระยะเวลาบัญชีปัจจุบัน,Object,,[0…5],C,C,,,,
1.6.18.4.2.1,,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.netLossDetail.periodFrom,,<rd:PeriodFrom>,รอบระยะเวลาบัญชีเริ่มต้น,Date,,[0…1],C,C,PND50_R235,,,
1.6.18.4.2.2,,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.netLossDetail.periodTo,,<rd:PeriodTo>,รอบระยะเวลาบัญชีสิ้นสุด,Date,,[0…1],C,C,PND50_R235,,,
1.6.18.4.2.3,,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.netLossDetail.exemptionProfitAmount,,<rd:ExemptionProfitAmount>,จำนวนกำไรสุทธิของกิจการที่ได้รับยกเว้น/สิทธิประโยชน์,"Decimal (15, 2)",15,[0…1],C,C,PND50_R235,,,
1.6.18.4.2.4,,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.netLossDetail.exemptionLossAmount,,<rd:ExemptionLossAmount>,จำนวนขาดทุนสุทธิของกิจการที่ได้รับยกเว้น/สิทธิประโยชน์,"Decimal (15, 2)",15,[0…1],C,C,PND50_R235,,,
1.6.18.4.2.5,,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.netLossDetail.liableProfitAmount,,<rd:LiableProfitAmount>,จำนวนกำไรสุทธิของกิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R235,,,
1.6.18.4.2.6,,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.netLossDetail.liableLossAmount,,<rd:LiableLossAmount>,จำนวนขาดทุนสุทธิของกิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R235,,,
1.6.18.4.3,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.TotalExemption,,,<rd:TotalExemption>,รวมผลขาดทุนสุทธิของกิจการที่ได้รับยกเว้น/สิทธิประโยชน์ จะ,"Decimal (15, 2)",15,[0…1],C,C,PND50_R236,,,
1.6.18.4.4,,,,,,TaxFormDetail.IbcAttachment.netLossAdjusted.TotalLiable,,,<rd:TotalLiable>,รวมผลขาดทุนสุทธิของกิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R237,,,
1.6.19,,,,TaxFormDetail.BoiAttachment,,,,,<rd:BoiAttachment>,ใบแนบสิทธิประโยชน์ที่ได้รับจากการส่งเสริมการลงทุน,Object,,[0…1],,,,,,
1.6.19.1,,,,,TaxFormDetail.BoiAttachment.Detail,,,,<rd:Detail>,รายการใบแนบสิทธิประโยชน์ที่ได้รับจากการส่งเสริมการลงทุน,Object,,[0…50],,,,,,
1.6.19.1.1,,,,,,TaxFormDetail.BoiAttachment.Detail.BoiNo,,,<rd:BoiNo>,บัตรส่งเสริมการลงทุนเลขที่,String,15,[0…1],C,C,PND50_R238,,,
1.6.19.1.2,,,,,,TaxFormDetail.BoiAttachment.Detail.IssueDate,,,<rd:IssueDate>,ลงวันที่,Date,,[0…1],C,C,PND50_R239,,,
1.6.19.1.3,,,,,,TaxFormDetail.BoiAttachment.Detail.BoiBusinessName,,,<rd:BoiBusinessName>,ชื่อประเภทกิจการที่ได้รับการส่งเสริมการลงทุน,String,150,[0…1],C,C,PND50_R240,,,
1.6.19.1.4,,,,,,TaxFormDetail.BoiAttachment.Detail.ApproveDate,,,<rd:ApproveDate>,วันที่ได้รับอนุมัติให้การส่งเสริม,Date,,[0…1],C,C,PND50_R241,,,
1.6.19.1.5,,,,,,TaxFormDetail.BoiAttachment.Detail.StartEarningRevenueDate,,,<rd:StartEarningRevenueDate>,วันที่เริ่มมีรายได้จากการประกอบกิจการ,Date,,[0…1],C,C,PND50_R242,,,
1.6.19.1.6,,,,,,TaxFormDetail.BoiAttachment.Detail.StatusGroupSelection,,,<rd:StatusGroupSelection>,สถานะสิทธิประโยชน์ที่ได้รับจากการส่งเสริมการลงทุน,Object,,[0…1],,,,,,
1.6.19.1.6.1,,,,,,,TaxFormDetail.BoiAttachment.Detail.StatusGroupSelection.ByBoi,,<rd:ByBoi>,ตามบัตรส่งเสริมฯ,Boolean,,[0…1],,,PND50_R243,,,
1.6.19.1.6.2,,,,,,,TaxFormDetail.BoiAttachment.Detail.StatusGroupSelection.BoiExemptionLimit,,<rd:BoiExemptionLimit>,วงเงินยกเว้นภาษีเงินได้นิติบุคคลไม่เกิน,"Decimal (15,2)",15,[0…1],C,C,PND50_R243,,,
1.6.19.1.6.3,,,,,,,TaxFormDetail.BoiAttachment.Detail.StatusGroupSelection.ByOperationalLicense,,<rd:ByOperationalLicense>,ตามใบอนุญาตเปิดดำเนินการ,Boolean,,[0…1],,,PND50_R244,,,
1.6.19.1.6.4,,,,,,,TaxFormDetail.BoiAttachment.Detail.StatusGroupSelection.OpertionalLicenseLimit,,<rd:OpertionalLicenseLimit>,วงเงินยกเว้นภาษีเงินได้นิติบุคคลไม่เกิน,"Decimal (15,2)",15,[0…1],C,C,PND50_R244,,,
1.6.19.1.6.5,,,,,,,TaxFormDetail.BoiAttachment.Detail.StatusGroupSelection.NoConditionOnCit,,<rd:NoConditionOnCit>,ไม่มีเงื่อนไขกำหนดวงเงินภาษีเงินได้นิติบุคคล,Boolean,,[0…1],,,PND50_R245,,,
1.6.19.1.7,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo,,,<rd:TaxExemptionInfo>,ได้รับการยกเว้นหรือลดหย่อนภาษีเงินได้นิติบุคคล,Object,,[0…1],,,,,,
1.6.19.1.7.1,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.IncomeTaxExemptionSelect,,<rd:IncomeTaxExemptionSelect>,(1) ได้รับยกเว้นภาษีเงินได้,Boolean,,[0…1],,,PND50_R246,,,
1.6.19.1.7.2,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.IncomeTaxExemption,,<rd:IncomeTaxExemption>,ข้อมูลได้รับยกเว้นภาษีเงินได้,Object,,[0…1],,,,,,
1.6.19.1.7.2.1,,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.YearAmount,<rd:YearAmount>,เวลา (ปี) ค่า 0 - 99,Number,2,[0…1],,,PND50_R246,,,
1.6.19.1.7.2.2,,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.StartDate,<rd:StartDate>,ตั้งแต่วัน เดือน ปี,Date,,[0…1],,,PND50_R246,,,
1.6.19.1.7.2.3,,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.EndDate,<rd:EndDate>,ถึงวัน เดือน ปี,Date,,[0…1],NU,,PND50_R246,,,
1.6.19.1.7.3,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.incomeTaxRateReductionSelect,,<rd:IncomeTaxExemptionSelect>,(2) ได้รับการลดหย่อนอัตราภาษีเงินได้ไม่เกินร้อยละ 50 ของอัตราปกติ,Boolean,,[0…1],,,PND50_R247,,,
1.6.19.1.7.4,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.IncomeTaxRateReduction,,<rd:IncomeTaxRateReduction>,ข้อมูลได้รับการลดหย่อนอัตราภาษีเงินได้ไม่เกินร้อยละ 50 ของอัตราปกติ,Object,,[0…1],,,,,,
1.6.19.1.7.4.1,,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.YearAmount,<rd:YearAmount>,เวลา (ปี) ค่า 0 - 99,Number,2,[0…1],,,PND50_R247,,,
1.6.19.1.7.4.2,,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.StartDate,<rd:StartDate>,ตั้งแต่วัน เดือน ปี,Date,,[0…1],,,PND50_R247,,,
1.6.19.1.7.4.3,,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.EndDate,<rd:EndDate>,ถึงวัน เดือน ปี,Date,,[0…1],NU,,PND50_R247,,,
1.6.19.1.7.5,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.OtherSelect,,<rd:OtherSelect>,(3) อื่น ๆ,Boolean,,[0…1],,,,,,
1.6.19.1.7.6,,,,,,,TaxFormDetail.BoiAttachment.Detail.TaxExemptionInfo.Other,,<rd:Other>,ข้อมูลอื่น ๆ,Object,,[0…1],,,,,,
